household_id,ea_id,saq01,saq14,pw_w4,adulteq,hh_size,food_cons_ann,nonfood_cons_ann,educ_cons_ann,fafh_cons_ann,utilities_cons_ann,total_cons_ann,nom_foodcons_aeq,nom_nonfoodcons_aeq,nom_educcons_aeq,nom_utilities_aeq,nom_totcons_aeq,spat_totcons_aeq,cons_quint
140712010701264126,140712010701264,ADDIS ABABA,URBAN,1256.54125,3.119999885559082,4,39390,16152,0,0,4980,60522,12625,5176.92333984375,0,1596.1539306640625,19398.078125,18607.763671875,4
010701088800415024,010701088800415,TIGRAY,RURAL,2387.1706518724,1.619999885559082,2,29920.02197265625,2346,620,4160,0,37046.0234375,21037.052734375,1448.148193359375,382.716064453125,0,22867.91796875,23439.763671875,4
050605020100107092,050605020100107,SOMALI,URBAN,1302.033904585456,5.860000133514404,7,13829.146240234375,1440,0,0,0,15269.146484375,2359.922607421875,245.73377990722656,0,0,2605.65625,2554.218994140625,1
020103010100203233,020103010100203,AFAR,URBAN,368.5291324200913,1.1399999856948853,1,33769.84000015259,250,0,0,1440,35459.83984375,29622.66796875,219.29824829101562,0,1263.157958984375,31105.123046875,30327.267578125,5
031401088800203068,031401088800203,AMHARA,RURAL,8107.63146867798,4.71999979019165,5,24804.500549316406,3976,250,2600,300,31930.5,5806.03857421875,842.3729248046875,52.966102600097656,63.559326171875,6764.9365234375,6777.6953125,1
040807010100204184,040807010100204,OROMIA,URBAN,6321.841952380953,6.380000114440918,7,28392,19988,680,0,6000,55060,4450.15673828125,3132.915283203125,106.58306884765625,940.4388427734375,8630.09375,9386.74609375,2
010304088801407049,010304088801407,TIGRAY,RURAL,1771.406861471861,1.8199999332427979,2,7417.7999267578125,2540,0,0,0,9957.7998046875,4075.71435546875,1395.6044921875,0,0,5471.31884765625,5608.13720703125,1
070409010100108080,070409010100108,SNNP,URBAN,2197.653296449977,1.8399999141693115,2,13624,5900,0,5200,4020,28744,10230.435546875,3206.52197265625,0,2184.78271484375,15621.740234375,16892.642578125,4
020305010100601008,020305010100601,AFAR,URBAN,40.46860103626943,1.2599999904632568,2,29673.939514160156,10590,3700,0,1200,45163.9375,23550.74609375,8404.76171875,2936.508056640625,952.3809814453125,35844.39453125,34948.0234375,5
130106010100108087,130106010100108,HARAR,URBAN,95.63955555555556,2.75,4,62972,17366,7950,0,2100,90388,22898.908203125,6314.9091796875,2890.9091796875,763.6363525390625,32868.36328125,32922.6875,5
120106010100504229,120106010100504,GAMBELA,URBAN,156.0651851851852,2.679999828338623,3,50804,22308,6650,1300,3936,84998,19441.79296875,8323.880859375,2481.343505859375,1468.6568603515625,31715.673828125,32122.8671875,5
030610010100110105,030610010100110,AMHARA,URBAN,4905.999703703703,4.059999942779541,5,75675.599853515625,21682,380,6240,1872,105849.6015625,20176.255859375,5340.39404296875,93.59606170654297,461.083740234375,26071.330078125,27978.4375,5
140909010900935054,140909010900935,ADDIS ABABA,URBAN,1190.215529753266,2.859999895095825,3,48802,31652,5520,0,12000,97974,17063.63671875,11067.1328125,1930.0699462890625,4195.80419921875,34256.64453125,32860.96484375,5
020403088800302047,020403088800302,AFAR,RURAL,628.014921630094,1.9600000381469727,3,22583.3994140625,2216,0,3380,0,28179.3984375,13246.6318359375,1130.6121826171875,0,0,14377.244140625,13874.544921875,3
031201088800502070,031201088800502,AMHARA,RURAL,8051.691331923891,2.5,3,15404.5146484375,1429,75,0,0,16908.515625,6161.8056640625,571.5999755859375,30,0,6763.40625,6776.162109375,1
030421010100402071,030421010100402,AMHARA,URBAN,4870.183110425241,1.7999999523162842,2,35587.478576660156,14720,0,8840,4920,64067.48046875,24681.93359375,8177.77783203125,0,2733.33349609375,35593.046875,38196.6640625,5
