ea_id,saq14,saq01,saq02,saq03,saq04,saq05,saq06,saq07,cs2aq01,cs2aq02,cs2aq03,cs2aq04,cs2aq05,cs2aq06,cs2aq06_os,cs2aq07,cs2aq07_os,cs2aq08,cs2aq09,cs2aq10,cs2aq11
020207010100104,2. URBAN,2. AFAR,02,07,1,1,001,04,1. YES,1. YES,1. YES,1. YES,2. NO,15. Corrugated iron sheet,,1. Corrugated iron sheet,,1. YES,1. YES,2. NO,1. YES
020301020100111,2. URBAN,2. AFAR,03,01,2,1,001,11,2. NO,1. YES,1. YES,1. YES,2. NO,1. Wood and mud,,1. Corrugated iron sheet,,2. NO,2. NO,,2. NO
020301088800303,1. RURAL,2. AFAR,03,01,8,88,003,03,2. NO,1. YES,2. NO,1. YES,2. NO,1. Wood and mud,,6. Plastic Canvas,,2. NO,2. NO,,2. NO
020302088800306,1. RURAL,2. AFAR,03,02,8,88,003,06,1. YES,1. YES,1. YES,1. YES,1. YES,4. Stone,,1. Corrugated iron sheet,,2. NO,1. YES,2. NO,2. NO
020303020100103,2. URBAN,2. AFAR,03,03,2,1,001,03,1. YES,2. NO,1. YES,1. YES,1. YES,1. Wood and mud,,1. Corrugated iron sheet,,1. YES,2. NO,,2. NO
020303088800501,1. RURAL,2. AFAR,03,03,8,88,005,01,2. NO,2. NO,2. NO,1. YES,2. NO,2. Wood and Thatch,,3. Thatch,,2. NO,2. NO,,2. NO
020304088800703,1. RURAL,2. AFAR,03,04,8,88,007,03,2. NO,1. YES,2. NO,1. YES,2. NO,3. Wood,,6. Plastic Canvas,,2. NO,2. NO,,2. NO
020305010100306,2. URBAN,2. AFAR,03,05,1,1,003,06,2. NO,1. YES,1. YES,1. YES,2. NO,"7. Blocks, plastered with cement",,1. Corrugated iron sheet,,1. YES,1. YES,1. YES,1. YES
020305010100601,2. URBAN,2. AFAR,03,05,1,1,006,01,1. YES,1. YES,1. YES,1. YES,1. YES,6. Stone and cement,,1. Corrugated iron sheet,,1. YES,1. YES,1. YES,1. YES
020306088800903,1. RURAL,2. AFAR,03,06,8,88,009,03,2. NO,1. YES,2. NO,1. YES,1. YES,1. Wood and mud,,1. Corrugated iron sheet,,2. NO,2. NO,,2. NO
020401088800602,1. RURAL,2. AFAR,04,01,8,88,006,02,2. NO,1. YES,1. YES,1. YES,2. NO,1. Wood and mud,,3. Thatch,,2. NO,2. NO,,2. NO
020403010100102,2. URBAN,2. AFAR,04,03,1,1,001,02,2. NO,1. YES,1. YES,1. YES,1. YES,2. Wood and Thatch,,1. Corrugated iron sheet,,1. YES,1. YES,2. NO,2. NO
020403088800302,1. RURAL,2. AFAR,04,03,8,88,003,02,2. NO,1. YES,1. YES,1. YES,2. NO,2. Wood and Thatch,,3. Thatch,,2. NO,2. NO,,2. NO
020404088800501,1. RURAL,2. AFAR,04,04,8,88,005,01,1. YES,1. YES,1. YES,1. YES,1. YES,1. Wood and mud,,1. Corrugated iron sheet,,1. YES,2. NO,,2. NO
020405088800405,1. RURAL,2. AFAR,04,05,8,88,004,05,2. NO,2. NO,2. NO,2. NO,2. NO,2. Wood and Thatch,,3. Thatch,,1. YES,2. NO,,2. NO
020501088800601,1. RURAL,2. AFAR,05,01,8,88,006,01,1. YES,1. YES,1. YES,1. YES,1. YES,2. Wood and Thatch,,3. Thatch,,1. YES,2. NO,,2. NO
020502088800303,1. RURAL,2. AFAR,05,02,8,88,003,03,2. NO,2. NO,1. YES,1. YES,2. NO,2. Wood and Thatch,,3. Thatch,,2. NO,2. NO,,2. NO
020502088801101,1. RURAL,2. AFAR,05,02,8,88,011,01,2. NO,1. YES,1. YES,1. YES,1. YES,2. Wood and Thatch,,3. Thatch,,2. NO,2. NO,,2. NO
020503010100101,2. URBAN,2. AFAR,05,03,1,1,001,01,1. YES,1. YES,1. YES,1. YES,2. NO,1. Wood and mud,,1. Corrugated iron sheet,,1. YES,1. YES,1. YES,1. YES
020504088800505,1. RURAL,2. AFAR,05,04,8,88,005,05,1. YES,1. YES,1. YES,1. YES,1. YES,2. Wood and Thatch,,3. Thatch,,2. NO,2. NO,,2. NO
020504088801102,1. RURAL,2. AFAR,05,04,8,88,011,02,2. NO,2. NO,1. YES,1. YES,1. YES,2. Wood and Thatch,,3. Thatch,,2. NO,2. NO,,2. NO
020601010100306,2. URBAN,2. AFAR,06,01,1,1,003,06,1. YES,1. YES,1. YES,1. YES,1. YES,1. Wood and mud,,1. Corrugated iron sheet,,1. YES,1. YES,1. YES,1. YES
020601010100330,2. URBAN,2. AFAR,06,01,1,1,003,30,1. YES,1. YES,1. YES,1. YES,1. YES,1. Wood and mud,,1. Corrugated iron sheet,,1. YES,1. YES,1. YES,1. YES
030103088803101,1. RURAL,3. AMHARA,01,03,8,88,031,01,1. YES,1. YES,1. YES,1. YES,1. YES,1. Wood and mud,,3. Thatch,,2. NO,2. NO,,2. NO
030106088801805,1. RURAL,3. AMHARA,01,06,8,88,018,05,2. NO,1. YES,1. YES,1. YES,2. NO,1. Wood and mud,,1. Corrugated iron sheet,,2. NO,2. NO,,2. NO
030202088802410,1. RURAL,3. AMHARA,02,02,8,88,024,10,1. YES,1. YES,1. YES,1. YES,1. YES,1. Wood and mud,,1. Corrugated iron sheet,,1. YES,1. YES,2. NO,1. YES
030206010100105,2. URBAN,3. AMHARA,02,06,1,1,001,05,1. YES,1. YES,1. YES,1. YES,2. NO,1. Wood and mud,,1. Corrugated iron sheet,,2. NO,2. NO,,2. NO
030206088800908,1. RURAL,3. AMHARA,02,06,8,88,009,08,1. YES,1. YES,1. YES,1. YES,1. YES,1. Wood and mud,,1. Corrugated iron sheet,,1. YES,2. NO,,2. NO
030209088803514,1. RURAL,3. AMHARA,02,09,8,88,035,14,1. YES,1. YES,1. YES,1. YES,2. NO,1. Wood and mud,,1. Corrugated iron sheet,,1. YES,2. NO,,2. NO
030214020100104,2. URBAN,3. AMHARA,02,14,2,1,001,04,1. YES,1. YES,1. YES,1. YES,2. NO,1. Wood and mud,,1. Corrugated iron sheet,,1. YES,1. YES,2. NO,2. NO
030303088800803,1. RURAL,3. AMHARA,03,03,8,88,008,03,2. NO,1. YES,2. NO,1. YES,2. NO,1. Wood and mud,,1. Corrugated iron sheet,,2. NO,2. NO,,1. YES
030307088802601,1. RURAL,3. AMHARA,03,07,8,88,026,01,2. NO,1. YES,2. NO,1. YES,2. NO,1. Wood and mud,,3. Thatch,,2. NO,2. NO,,2. NO
030309010100310,2. URBAN,3. AMHARA,03,09,1,1,003,10,1. YES,1. YES,1. YES,1. YES,1. YES,"7. Blocks, plastered with cement",,1. Corrugated iron sheet,,1. YES,1. YES,2. NO,1. YES
030312088800504,1. RURAL,3. AMHARA,03,12,8,88,005,04,1. YES,1. YES,2. NO,1. YES,2. NO,5. Stone and mud,,3. Thatch,,2. NO,1. YES,1. YES,2. NO
030401088801512,1. RURAL,3. AMHARA,04,01,8,88,015,12,1. YES,1. YES,2. NO,1. YES,1. YES,1. Wood and mud,,3. Thatch,,2. NO,1. YES,1. YES,2. NO
030404088801907,1. RURAL,3. AMHARA,04,04,8,88,019,07,1. YES,1. YES,1. YES,1. YES,1. YES,1. Wood and mud,,1. Corrugated iron sheet,,2. NO,1. YES,2. NO,2. NO
030409010100102,2. URBAN,3. AMHARA,04,09,1,1,001,02,1. YES,1. YES,1. YES,1. YES,2. NO,1. Wood and mud,,1. Corrugated iron sheet,,2. NO,1. YES,1. YES,1. YES
030409088800307,1. RURAL,3. AMHARA,04,09,8,88,003,07,1. YES,1. YES,1. YES,1. YES,1. YES,1. Wood and mud,,1. Corrugated iron sheet,,2. NO,1. YES,2. NO,1. YES
030412088800503,1. RURAL,3. AMHARA,04,12,8,88,005,03,1. YES,1. YES,1. YES,1. YES,1. YES,1. Wood and mud,,1. Corrugated iron sheet,,2. NO,1. YES,1. YES,1. YES
030416088801301,1. RURAL,3. AMHARA,04,16,8,88,013,01,2. NO,1. YES,1. YES,1. YES,1. YES,1. Wood and mud,,1. Corrugated iron sheet,,2. NO,1. YES,1. YES,1. YES
030421010100402,2. URBAN,3. AMHARA,04,21,1,1,004,02,1. YES,1. YES,1. YES,1. YES,1. YES,1. Wood and mud,,1. Corrugated iron sheet,,1. YES,1. YES,1. YES,1. YES
030505088800505,1. RURAL,3. AMHARA,05,05,8,88,005,05,2. NO,1. YES,2. NO,1. YES,2. NO,5. Stone and mud,,3. Thatch,,1. YES,1. YES,1. YES,1. YES
030512088800206,1. RURAL,3. AMHARA,05,12,8,88,002,06,2. NO,1. YES,2. NO,1. YES,1. YES,1. Wood and mud,,1. Corrugated iron sheet,,1. YES,2. NO,,1. YES
030519088801304,1. RURAL,3. AMHARA,05,19,8,88,013,04,2. NO,1. YES,2. NO,1. YES,2. NO,5. Stone and mud,,1. Corrugated iron sheet,,1. YES,2. NO,,1. YES
030526010100201,2. URBAN,3. AMHARA,05,26,1,1,002,01,2. NO,1. YES,1. YES,1. YES,1. YES,1. Wood and mud,,1. Corrugated iron sheet,,1. YES,1. YES,1. YES,1. YES
030602088802210,1. RURAL,3. AMHARA,06,02,8,88,022,10,2. NO,1. YES,1. YES,1. YES,2. NO,1. Wood and mud,,1. Corrugated iron sheet,,2. NO,1. YES,1. YES,1. YES
