ea_id,saq01,saq02,saq03,saq04,saq05,saq06,saq07,saq14,saq21
040403088803808,4. OROMIA,04,03,8,88,038,08,1. RURAL,**CONFIDENTIAL**
040409088801903,4. OROMIA,04,09,8,88,019,03,1. RURAL,**CONFIDENTIAL**
040416088800808,4. OROMIA,04,16,8,88,008,08,1. RURAL,**CONFIDENTIAL**
040417010100207,4. OROMIA,04,17,1,1,002,07,2. URBAN,**CONFIDENTIAL**
040502088800607,4. OROMIA,05,02,8,88,006,07,1. RURAL,**CONFIDENTIAL**
040511088800604,4. OROMIA,05,11,8,88,006,04,1. RURAL,**CONFIDENTIAL**
040521020100101,4. OROMIA,05,21,2,1,001,01,2. URBAN,**CONFIDENTIAL**
040601088802404,4. OROMIA,06,01,8,88,024,04,1. RURAL,**CONFIDENTIAL**
040606088801505,4. OROMIA,06,06,8,88,015,05,1. RURAL,**CONFIDENTIAL**
040702030100113,4. OROMIA,07,02,3,1,001,13,2. URBAN,**CONFIDENTIAL**
040807010100204,4. OROMIA,08,07,1,1,002,04,2. URBAN,**CONFIDENTIAL**
040903010100103,4. OROMIA,09,03,1,1,001,03,2. URBAN,**CONFIDENTIAL**
040903088802905,4. OROMIA,09,03,8,88,029,05,1. RURAL,**CONFIDENTIAL**
040909088802804,4. OROMIA,09,09,8,88,028,04,1. RURAL,**CONFIDENTIAL**
040913088802102,4. OROMIA,09,13,8,88,021,02,1. RURAL,**CONFIDENTIAL**
041001088801403,4. OROMIA,10,01,8,88,014,03,1. RURAL,**CONFIDENTIAL**
041008088801110,4. OROMIA,10,08,8,88,011,10,1. RURAL,**CONFIDENTIAL**
041009010100207,4. OROMIA,10,09,1,1,002,07,2. URBAN,**CONFIDENTIAL**
041013088801410,4. OROMIA,10,13,8,88,014,10,1. RURAL,**CONFIDENTIAL**
041109088800302,4. OROMIA,11,09,8,88,003,02,1. RURAL,**CONFIDENTIAL**
041112010100108,4. OROMIA,11,12,1,1,001,08,2. URBAN,**CONFIDENTIAL**
041117088800104,4. OROMIA,11,17,8,88,001,04,1. RURAL,**CONFIDENTIAL**
041207088800703,4. OROMIA,12,07,8,88,007,03,1. RURAL,**CONFIDENTIAL**
041212088800904,4. OROMIA,12,12,8,88,009,04,1. RURAL,**CONFIDENTIAL**
041303088803505,4. OROMIA,13,03,8,88,035,05,1. RURAL,**CONFIDENTIAL**
041310088801505,4. OROMIA,13,10,8,88,015,05,1. RURAL,**CONFIDENTIAL**
041401088802208,4. OROMIA,14,01,8,88,022,08,1. RURAL,**CONFIDENTIAL**
041402010100102,4. OROMIA,14,02,1,1,001,02,2. URBAN,**CONFIDENTIAL**
041407088800512,4. OROMIA,14,07,8,88,005,12,1. RURAL,**CONFIDENTIAL**
041502088800405,4. OROMIA,15,02,8,88,004,05,1. RURAL,**CONFIDENTIAL**
041506088800605,4. OROMIA,15,06,8,88,006,05,1. RURAL,**CONFIDENTIAL**
041602020100103,4. OROMIA,16,02,2,1,001,03,2. URBAN,**CONFIDENTIAL**
041602088800902,4. OROMIA,16,02,8,88,009,02,1. RURAL,**CONFIDENTIAL**
041606088800702,4. OROMIA,16,06,8,88,007,02,1. RURAL,**CONFIDENTIAL**
041701088800105,4. OROMIA,17,01,8,88,001,05,1. RURAL,**CONFIDENTIAL**
041704088803702,4. OROMIA,17,04,8,88,037,02,1. RURAL,**CONFIDENTIAL**
041709088800509,4. OROMIA,17,09,8,88,005,09,1. RURAL,**CONFIDENTIAL**
041801088800702,4. OROMIA,18,01,8,88,007,02,1. RURAL,**CONFIDENTIAL**
041803010100206,4. OROMIA,18,03,1,1,002,06,2. URBAN,**CONFIDENTIAL**
041805088802106,4. OROMIA,18,05,8,88,021,06,1. RURAL,**CONFIDENTIAL**
041907088801302,4. OROMIA,19,07,8,88,013,02,1. RURAL,**CONFIDENTIAL**
041911088801308,4. OROMIA,19,11,8,88,013,08,1. RURAL,**CONFIDENTIAL**
042002088802503,4. OROMIA,20,02,8,88,025,03,1. RURAL,**CONFIDENTIAL**
042007088801902,4. OROMIA,20,07,8,88,019,02,1. RURAL,**CONFIDENTIAL**
042101010101005,4. OROMIA,21,01,1,1,010,05,2. URBAN,**CONFIDENTIAL**
042101010501435,4. OROMIA,21,01,1,5,014,35,2. URBAN,**CONFIDENTIAL**
042323010101103,4. OROMIA,23,23,1,1,011,03,2. URBAN,**CONFIDENTIAL**
042424010100685,4. OROMIA,24,24,1,1,006,85,2. URBAN,**CONFIDENTIAL**
042828010100624,4. OROMIA,28,28,1,1,006,24,2. URBAN,**CONFIDENTIAL**
043030010100345,4. OROMIA,30,30,1,1,003,45,2. URBAN,**CONFIDENTIAL**
043131010100723,4. OROMIA,31,31,1,1,007,23,2. URBAN,**CONFIDENTIAL**
043535010100252,4. OROMIA,35,35,1,1,002,52,2. URBAN,**CONFIDENTIAL**
050102010100102,5. SOMALI,01,02,1,1,001,02,2. URBAN,**CONFIDENTIAL**
050103088801103,5. SOMALI,01,03,8,88,011,03,1. RURAL,**CONFIDENTIAL**
050109088800301,5. SOMALI,01,09,8,88,003,01,1. RURAL,**CONFIDENTIAL**
050202088801303,5. SOMALI,02,02,8,88,013,03,1. RURAL,**CONFIDENTIAL**
050205030100101,5. SOMALI,02,05,3,1,001,01,2. URBAN,**CONFIDENTIAL**
050205088802405,5. SOMALI,02,05,8,88,024,05,1. RURAL,**CONFIDENTIAL**
050206088801407,5. SOMALI,02,06,8,88,014,07,1. RURAL,**CONFIDENTIAL**
050207088800806,5. SOMALI,02,07,8,88,008,06,1. RURAL,**CONFIDENTIAL**
050212010100806,5. SOMALI,02,12,1,1,008,06,2. URBAN,**CONFIDENTIAL**
050212010101601,5. SOMALI,02,12,1,1,016,01,2. URBAN,**CONFIDENTIAL**
050212010101923,5. SOMALI,02,12,1,1,019,23,2. URBAN,**CONFIDENTIAL**
050212010102805,5. SOMALI,02,12,1,1,028,05,2. URBAN,**CONFIDENTIAL**
050213088801502,5. SOMALI,02,13,8,88,015,02,1. RURAL,**CONFIDENTIAL**
050301088800706,5. SOMALI,03,01,8,88,007,06,2. URBAN,**CONFIDENTIAL**
050303088800907,5. SOMALI,03,03,8,88,009,07,2. URBAN,**CONFIDENTIAL**
050304088801205,5. SOMALI,03,04,8,88,012,05,2. URBAN,**CONFIDENTIAL**
050309088800903,5. SOMALI,03,09,8,88,009,03,2. URBAN,**CONFIDENTIAL**
050310010100201,5. SOMALI,03,10,1,1,002,01,2. URBAN,**CONFIDENTIAL**
050312010101002,5. SOMALI,03,12,1,1,010,02,2. URBAN,**CONFIDENTIAL**
050405088800906,5. SOMALI,04,05,8,88,009,06,2. URBAN,**CONFIDENTIAL**
050405088801501,5. SOMALI,04,05,8,88,015,01,2. URBAN,**CONFIDENTIAL**
050407010100404,5. SOMALI,04,07,1,1,004,04,2. URBAN,**CONFIDENTIAL**
050408088800501,5. SOMALI,04,08,8,88,005,01,2. URBAN,**CONFIDENTIAL**
050502088800603,5. SOMALI,05,02,8,88,006,03,2. URBAN,**CONFIDENTIAL**
050506088800603,5. SOMALI,05,06,8,88,006,03,2. URBAN,**CONFIDENTIAL**
050511010100602,5. SOMALI,05,11,1,1,006,02,2. URBAN,**CONFIDENTIAL**
050602088800702,5. SOMALI,06,02,8,88,007,02,2. URBAN,**CONFIDENTIAL**
050604088800604,5. SOMALI,06,04,8,88,006,04,2. URBAN,**CONFIDENTIAL**
050605020100107,5. SOMALI,06,05,2,1,001,07,2. URBAN,**CONFIDENTIAL**
050606088800801,5. SOMALI,06,06,8,88,008,01,2. URBAN,**CONFIDENTIAL**
050610088800304,5. SOMALI,06,10,8,88,003,04,2. URBAN,**CONFIDENTIAL**
050611010100206,5. SOMALI,06,11,1,1,002,06,2. URBAN,**CONFIDENTIAL**
050611010101009,5. SOMALI,06,11,1,1,010,09,2. URBAN,**CONFIDENTIAL**
050701088801207,5. SOMALI,07,01,8,88,012,07,2. URBAN,**CONFIDENTIAL**
050703088800901,5. SOMALI,07,03,8,88,009,01,2. URBAN,**CONFIDENTIAL**
050704088801101,5. SOMALI,07,04,8,88,011,01,2. URBAN,**CONFIDENTIAL**
050706010100201,5. SOMALI,07,06,1,1,002,01,2. URBAN,**CONFIDENTIAL**
050707088800603,5. SOMALI,07,07,8,88,006,03,2. URBAN,**CONFIDENTIAL**
