ea_id,saq14,saq01,saq02,saq03,saq04,saq05,saq06,saq07,cs10q01,cs10q01_oth,cs10q04a,cs10q04b,cs10q04c,cs10q05__Latitude,cs10q05__Longitude,cs10q05__Accuracy,cs10q05__Altitude,cs10q05__Timestamp
020302088800306,1. RURAL,2. AFAR,03,02,8,88,003,06,2. SHOPS/STALLS,,9,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
020303020100103,2. URBAN,2. AFAR,03,03,2,1,001,03,2. SHOPS/STALLS,,26,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
020303088800501,1. RURAL,2. AFAR,03,03,8,88,005,01,2. SHOPS/STALLS,,22,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
020304088800703,1. RURAL,2. AFAR,03,04,8,88,007,03,1. MARKETPLACE,,20,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
020305010100306,2. URBAN,2. AFAR,03,05,1,1,003,06,1. MARKETPLACE,,15,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
020305010100601,2. URBAN,2. AFAR,03,05,1,1,006,01,1. MARKETPLACE,,27,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
020306088800903,1. RURAL,2. AFAR,03,06,8,88,009,03,1. MARKETPLACE,,18,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
020401088800602,1. RURAL,2. AFAR,04,01,8,88,006,02,2. SHOPS/STALLS,,25,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
020403010100102,2. URBAN,2. AFAR,04,03,1,1,001,02,2. SHOPS/STALLS,,26,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
020403088800302,1. RURAL,2. AFAR,04,03,8,88,003,02,1. MARKETPLACE,,26,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
020404088800501,1. RURAL,2. AFAR,04,04,8,88,005,01,1. MARKETPLACE,,24,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
020405088800405,1. RURAL,2. AFAR,04,05,8,88,004,05,1. MARKETPLACE,,24,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
020501088800601,1. RURAL,2. AFAR,05,01,8,88,006,01,2. SHOPS/STALLS,,19,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
020502088800303,1. RURAL,2. AFAR,05,02,8,88,003,03,2. SHOPS/STALLS,,20,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
020502088801101,1. RURAL,2. AFAR,05,02,8,88,011,01,2. SHOPS/STALLS,,22,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
020503010100101,2. URBAN,2. AFAR,05,03,1,1,001,01,1. MARKETPLACE,,14,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
020504088800505,1. RURAL,2. AFAR,05,04,8,88,005,05,1. MARKETPLACE,,10,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
020504088801102,1. RURAL,2. AFAR,05,04,8,88,011,02,1. MARKETPLACE,,12,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
020601010100306,2. URBAN,2. AFAR,06,01,1,1,003,06,1. MARKETPLACE,,17,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
020601010100330,2. URBAN,2. AFAR,06,01,1,1,003,30,1. MARKETPLACE,,17,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
030103088803101,1. RURAL,3. AMHARA,01,03,8,88,031,01,1. MARKETPLACE,,12,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
030106088801805,1. RURAL,3. AMHARA,01,06,8,88,018,05,3. OTHER (SPECIFY),Gebeya Kmiyawk Gileseb,9,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
030202088802410,1. RURAL,3. AMHARA,02,02,8,88,024,10,1. MARKETPLACE,,12,10. June,2011,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
030206010100105,2. URBAN,3. AMHARA,02,06,1,1,001,05,1. MARKETPLACE,,12,10. June,2008,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**
